decile,n,defaults,score_min,score_max,default_rate,cum_defaults_pct,cum_goods_pct,lift
1,10006,3360,0.6479634268173518,0.8906802150693236,0.33579852088746753,0.22529167225425775,0.07805874960359874,2.2528041442534237
2,10005,2573,0.5801382139663831,0.6479598478483496,0.25717141429285356,0.39781413437039026,0.16534924419492372,1.7253108392833219
3,10006,2016,0.5250137810751617,0.5801256002951637,0.20147911253248052,0.5329891377229449,0.2591935730141765,1.3516824865520543
4,10005,1726,0.47560079905945657,0.5250113969219443,0.1725137431284358,0.6487193241249832,0.3564322711737001,1.157359700195497
5,10006,1506,0.42684982259252957,0.47559002202007317,0.15050969418348992,0.7496982700818023,0.4562666635346073,1.009739000370731
6,10005,1189,0.3778342547375121,0.426848801149016,0.11884057971014493,0.8294220195789191,0.5598125462468141,0.7972773369249396
7,10005,1036,0.3259123631820506,0.3778240622325139,0.10354822588705648,0.8988869518573153,0.6651554480215173,0.6946840378925463
8,10006,727,0.26904130214215255,0.32590782890821746,0.07265640615630621,0.9476330964194717,0.7741393688117358,0.4874370871643568
9,10005,478,0.2021373773886177,0.2690394619812597,0.047776111944027984,0.9796835188413571,0.8860361048143668,0.32052024142146435
10,10006,303,0.059585671678658574,0.2021217033546441,0.030281830901459125,1.0,1.0,0.2031546594371391
