feature,mean_abs_shap,share
num_sats,0.002651863966898343,0.0012245298118980963
open_acc,0.0024755529519224287,0.0011431160981107574
purpose_debt_consolidation,0.00242050624814188,0.001117697626172755
addr_state_CA,0.002373618350751965,0.0010960465803846393
purpose_medical,0.002249778248966279,0.0010388619365122637
pub_rec_bankruptcies,0.0017462529587408625,0.0008063531288878568
addr_state_WI,0.0015722216987583575,0.0007259921191562687
purpose_other,0.0015112827076926888,0.0006978528132950477
pub_rec,0.0013745338045474036,0.0006347073764491213
chargeoff_within_12_mths,0.0013609997983464574,0.000628457887684109
addr_state_MD,0.0012510048697904751,0.0005776664176631414
num_tl_90g_dpd_24m,0.0011685128840143448,0.0005395747594610456
purpose_moving,0.0011380881177255346,0.0005255257607922883
purpose_car,0.0010147511078281363,0.00046857342559902376
addr_state_OK,0.0009469455742338896,0.0004372634118372975
addr_state_MI,0.0009011899184411137,0.0004161351921093699
addr_state_CT,0.000884468735998502,0.00040841398670564264
home_ownership_OWN,0.0008171337082010697,0.00037732123460667964
tax_liens,0.0007683968278974575,0.0003548163989078543
addr_state_VA,0.0007560304833556686,0.0003491060918390739
collections_12_mths_ex_med,0.0007170695898724022,0.00033111543463947143
addr_state_TN,0.000682678179297045,0.00031523479066661764
initial_list_status_f,0.0006676677010491375,0.00030830352332604245
missingindicator_mths_since_recent_inq,0.0005960751326971826,0.0002752448011021202
addr_state_AL,0.0005170780605688319,0.00023876696095597897
purpose_vacation,0.00048204933630166275,0.00022259202978555548
purpose_major_purchase,0.00044994548494551933,0.0002077676935627881
purpose_infrequent_sklearn,0.0004051736343518957,0.00018709375761807856
purpose_home_improvement,0.0002662683815792613,0.000122952600615868
addr_state_LA,0.00026300251998743275,0.00012144455007834195
addr_state_HI,0.000249549515129562,0.00011523246464948777
addr_state_UT,0.0002117555561051745,9.778065335271633e-05
addr_state_PA,0.00019929858778310633,9.202849967264508e-05
addr_state_IN,0.00012060361269508992,5.569015643757967e-05
missingindicator_mths_since_last_delinq,0.00012020858334315684,5.550774692334558e-05
addr_state_NC,0.00011694908639442518,5.400263533567196e-05
missingindicator_mo_sin_old_il_acct,0.00011320246519664948,5.227258831673241e-05
addr_state_MN,0.00010913271316709441,5.039333178267581e-05
addr_state_MO,0.00010825301707226211,4.998712161994548e-05
addr_state_OH,0.00010163155725006969,4.6929583581882563e-05
addr_state_AZ,0.00010111281815711202,4.6690049619412164e-05
addr_state_MA,7.520863920070664e-05,3.472848606230317e-05
addr_state_KY,5.66241222769727e-05,2.6146863740456034e-05
addr_state_NM,5.547670871409871e-05,2.5617031844154516e-05
addr_state_AR,4.867880985751682e-05,2.2478020977813346e-05
initial_list_status_w,3.85221527597636e-05,1.7788063438259816e-05
delinq_amnt,2.2594833894667464e-05,1.0433434008783947e-05
missingindicator_num_il_tl,0.0,0.0
missingindicator_num_bc_tl,0.0,0.0
missingindicator_num_bc_sats,0.0,0.0
missingindicator_num_actv_rev_tl,0.0,0.0
